"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V69";"V70";"V71";"V73";"V75";"V77";"V78";"V79";"V80";"V81";"V82";"V83";"V84";"V85";"V86";"V87";"V88";"V89";"V90";"V91";"V92";"V93";"V94";"V95";"V96";"V97";"V98";"V99";"V100";"V101";"V102";"V103";"V104";"V105";"V106";"V107";"V108";"V109";"V110";"V111";"V112";"V113";"Area1";"Area2";"Area3";"Area4";"Area5";"Area6";"Area7";"Area8";"V15.V77.Ratio";"Ar.1.V17";"Ar.1.107"
3,145307977;2,373928501;2,536329557;2,524167373;6,416546045;11,65970076;15,26152359;9,15627122;12,55099312;11,5999917;10,40946544;8,703635909;16,05199606;17,18891865;17,29569375;16,7783166;3,07894891;1,99183109;1,898834308;1,617322893;3,964055924;2,674838536;0,223239153;2,504822821;1,960178439;4,236912746;2,828295851;0,506632442;2,40463702;4,669900131;1,940374504;1,29736228;5,465899125;1,849437719;1,513847778;13,4150311;2,310848661;0,15493073;2,347600793;12,48231356;1,822369197;0,424486384;1,517050005;1,585724913;11,83928815;1,272813462;1,275224297;0,937372165;1,054213851;11,51237228;2,620318818;1,858811124;0,176174425;1,865879927;1,631812392;1,003274534;14,89810185;2,327828413;4,862574908;6,104083395;8,431911808;8,79401845;7,655969004;3,310689299;5,07078;7,480213125;4,813380185;4,655304367;4,500966853;6,648829394;5,3496305;3,363285497;10,9666583;122,5680128;8,195328524;11,316902;10,72448634;14,27326539;44,50998225;78,05803053;150,5592248;44,49338604;68,32062813;37,74521068;106,0658388;88,19207468;38,16108311;21,24544663;59,40652973;156,9217786;73,5421827;41,04965568;42,32994021;155,0054354;56,34619256;43,97556751;54,68367528;113,7756894;35,9807956;29,42417894;48,37071488;77,79489382;53,5712546;19,68677654;7,779456096;8,428329424;7,798574508;9,878118026;33,88447805;113,6392828;27,46116049;99,81535991;68,29007225;42,05244849;71,58683436;28,22852556;82,11399518;1,577116134;0,027094054;2,121273502
2,863040293;2,712781751;2,422883639;2,343306225;6,884473891;10,61110399;14,52921942;8,886172022;12,61875376;12,078735;10,75747096;8,925423002;15,23706432;16,14617981;16,59502481;16,07344099;2,810617406;2,302842136;1,757019011;1,515174072;4,233101138;2,664366988;0,711909811;2,321872521;1,848712326;4,531873354;2,82435531;0,463480995;2,378897854;5,0907368;1,666041767;1,43371247;5,825668766;1,881114595;1,4804633;12,71186309;2,371586309;0,503729281;2,195636558;11,52407267;1,567029862;0,398913871;1,801397987;1,517278345;10,86155975;1,40936197;1,147446921;1,144119621;1,041278327;10,49485748;2,290336045;1,763017253;0,553098472;1,775123506;1,400638197;1,103958551;14,09853722;2,447293253;4,788182452;6,065031106;8,884738551;7,661091924;7,34187976;3,511333798;5,113459541;7,505294221;5,070952147;4,606451769;4,279720254;6,6607711;5,284620065;3,361577895;10,85321356;119,6044507;8,423101246;9,281276822;11,93044012;13,07699864;42,71181683;76,89263391;146,0868843;40,50161465;68,32114125;37,26412844;105,5852697;96,47661437;37,79158374;25,49001442;63,28159816;149,4593952;74,2772742;38,73159588;36,45052507;149,32272;52,94967044;41,31235974;55,0606898;118,0018534;40,95805769;31,70291348;45,34088219;77,04379567;57,76648389;23,13142081;7,895645945;8,341264679;9,349676263;9,048476193;34,63506308;108,1219926;27,96012144;94,66883668;62,91112369;42,9167846;65,20520804;29,46362864;76,36427965;1,529042502;0,025994872;1,871708045
2,948700975;2,307419016;2,268515641;2,245684619;5,924546647;11,47041053;15,52977754;9,005266165;12,25987385;10,69933549;9,419211237;7,856878197;15,68906686;16,51610686;16,64107627;16,25147292;3,308404836;2,050037888;1,781486708;1,557154166;3,562790247;1,928042528;0,891680762;2,252945335;1,835392503;3,791274366;2,171700919;0,80994941;2,24635739;4,191203518;1,483371516;1,488513989;4,884992692;1,239601053;1,521814053;13,49005781;1,683685976;0,571209868;1,884643956;12,50153647;1,32791889;0,637630541;1,40789759;1,277300755;11,86535908;1,376466622;1,108950667;0,860834046;0,834736009;11,50807952;2,796200662;1,363338826;0,70968364;1,445924843;1,566025393;1,1240928;15,05175493;1,548733626;4,98498636;5,759353173;7,453280577;9,147207981;6,920903393;3,82343614;5,358442724;6,901431121;4,1395398;4,869223128;4,136043036;6,250424754;4,650747776;2,761415106;10,74433953;125,7856205;9,620161422;10,97135008;10,97354759;12,54123687;44,10629596;81,67932452;144,2195897;35,57702239;72,26647449;36,37609277;108,6425673;89,23342721;38,55966576;26,16024893;64,71991468;159,2699043;76,33759627;41,69675112;41,23555696;166,4613026;70,72898611;44,74021143;50,99210502;98,94581074;24,7384288;27,25113678;46,95624515;74,20738194;51,36443033;17,83828676;7,436588429;7,834264716;7,930087278;10,32520315;33,52614357;104,3380493;22,78471123;94,84915207;67,2854399;34,76529561;69,57275368;25,27639839;76,77433711;1,548822635;0,031708517;2,031328852
3,339946033;2,391900102;2,31261366;2,499966456;6,283477361;11,14280406;15,66153819;9,749994409;13,1332998;11,46986321;10,039637;8,340016999;15,60618248;16,36798425;16,67118325;16,46451038;3,792313507;2,105505978;1,769813239;1,733452085;3,732214992;2,291266587;0,759076358;2,327432532;2,097008738;3,995078991;2,33665605;0,747458398;2,562489377;4,393033172;1,488477148;1,827551878;5,023987973;1,502318304;1,737772799;13,22441927;1,812893101;0,494248558;2,1895743;12,17446729;1,315329273;0,587501127;1,448470635;1,498853467;11,51782975;1,674347513;1,022934731;0,847686183;0,948360255;11,1128538;3,16867841;1,559136183;0,587949017;1,517813216;1,508380244;1,40803734;15,074483;1,554070412;5,439246442;5,957269912;8,081166142;8,547387265;7,148723895;4,247792459;5,897819485;7,235480316;4,496715959;5,31576361;4,434230799;6,602220853;4,850154502;3,240091103;11,39651635;124,7955678;11,26850386;9,831827044;10,25015044;13,55202765;44,902509;79,89305881;139,3158973;31,2785594;72,14022652;35,89711139;108,0373379;93,53604841;38,62181371;29,41559883;68,03741254;159,4374483;80,93195802;40,49517948;38,01031084;161,1877103;70,36780487;42,49719337;48,32271207;98,04488723;26,52282102;27,06015309;44,46191312;71,52206622;55,64502807;19,3073208;8,543801542;7,958461278;8,248136547;11,5873079;36,33770727;112,1991145;26,54656775;101,1619482;72,4137931;40,16369247;72,03542198;29,12652623;83,45095935;1,462831512;0,033799852;2,016336739
3,729419637;2,459454448;2,576189069;2,178223963;6,512949928;10,74777266;15,61641303;9,323971281;13,06653235;12,02614413;10,47511942;8,572615654;15,3335524;16,60040363;17,11620176;17,17535777;3,934890959;2,08923589;1,877450727;1,270092722;3,894862049;3,269758865;0,114534706;2,670011427;1,637893485;4,333945644;2,91836174;0,672555663;2,033838778;4,850363237;1,796499313;0,996807381;5,77930896;2,305257179;1,85909196;13,01100863;2,365068039;0,080103641;2,743305213;11,92772486;1,646000277;0,55255618;1,421744334;1,78007028;11,20003255;0,936456881;1,343428378;0,935214437;1,25323278;10,86521992;3,239543947;2,044039779;0,083150986;1,747902437;1,526398291;0,682935842;14,80475283;2,30523833;5,430116956;6,044847178;8,554995582;8,554995582;6,505894844;4,96906929;6,024126849;7,042405498;5,188476893;5,366734712;3,95723657;6,13173541;5,400371071;4,164349139;11,47496413;123,4577258;5,437268168;10,51720962;9,755475998;16,42539501;42,13534879;81,32237703;158,1041211;48,18447623;74,13203469;35,78761014;109,9196448;97,22313667;34,85820236;16,45861078;51,31681314;161,4524859;87,26298583;36,78804874;37,40145136;144,008783;59,49517961;38,32011394;46,19348942;108,6308869;37,81430506;27,94500638;42,87157545;70,81658183;55,80604753;20,75466404;6,366675952;8,587363229;8,223410805;11,8739335;35,05138349;113,1449116;31,44467657;97,96095103;68,76082507;43,73064609;69,41426547;28,54668556;83,9447856;1,491612658;0,034777445;2,027466853
3,619969833;2,260205148;2,007820866;2,107795217;6,465631954;10,34304462;14,54121039;8,803109747;12,4509625;11,19983505;9,790222404;8,377409768;14,7432038;15,73081212;15,9653499;15,92127427;3,796797036;1,889981359;1,47623303;1,323473445;3,964477632;2,677199122;0,331108191;2,093723094;1,713955947;4,383848699;2,364175763;0,424155438;2,124746775;4,877144429;1,59242179;1,173842606;5,611145372;1,932243291;1,875726557;12,11330442;1,960504509;0,23924438;2,573363162;11,19223785;1,471545385;0,358122822;1,425784227;1,82318604;10,65217364;1,121553755;1,103573274;0,923045112;1,270423132;10,32460852;3,185168276;1,735438555;0,248525997;1,484752311;1,288919314;0,860305293;14,08702688;1,826986421;5,385016716;5,240786853;8,317596075;7,596417225;7,019474145;3,605894252;5,686778395;6,764184108;4,77311205;5,169132829;3,633976919;5,80975182;5,078638474;3,807969848;10,6253684;120,846918;6,914537185;9,035169694;9,678767709;16,53886388;42,16733847;78,67957956;151,4135839;43,12212255;71,2562264;37,03523493;108,2914613;93,08772078;36,93964452;21,67187893;58,61152345;164,519631;84,82152111;38,76064489;40,937465;148,4699115;61,41925073;40,31159451;46,73906629;105,9533449;32,18909067;29,5412002;44,22305399;73,76425419;57,09736645;22,11784704;7,010127593;7,214169325;8,127818089;12,6274044;34,97951941;101,9035621;26,79437683;90,15857239;61,45142276;38,76586302;63,13769908;27,0208733;73,19641247;1,502569069;0,037258727;1,78473314
3,422178866;2,623519975;2,03069991;2,259019301;7,030517082;10,94165929;13,60041119;9,072519466;11,93035219;11,435789;10,06844503;8,606167048;15,84002108;16,08349991;16,27644957;15,75752016;2,820122798;2,044878319;1,4249316;1,511322576;4,1290969;2,62020124;0,530232137;1,960956269;1,900303925;4,424095434;2,313090082;0,402230647;2,416290188;4,936834114;1,291062514;1,75819633;5,556908204;2,096341942;1,667222274;11,99395594;2,171903705;0,43799028;2,531482708;11,13507287;1,34315171;0,394704259;1,755865997;1,861708236;10,7280697;1,965591112;1,006525994;1,101753233;1,27371314;10,4924376;2,474444888;1,831502824;0,441203289;1,583849791;1,222186832;1,519331842;13,55191257;2,18579235;5,300546448;4,480874317;9,016393443;6,721311475;8,633879781;1,147540984;4,865001117;7,065351077;5,141376693;4,747151001;4,325368465;6,988978526;5,355430203;3,763564216;9,781420765;122,1008627;11,945454;8,681312399;11,97727768;16,66921614;49,27326021;72,82760252;127,9515128;33,18764833;58,95008262;35,81378182;94,76386444;91,85993931;39,69067583;40,10303323;79,79370907;155,0005671;74,02378453;41,20871007;39,76807246;142,6765631;45,91087589;43,97545951;52,79022772;123,6768138;37,48157312;35,96287535;50,23236535;86,1952407;56,94003213;22,08535545;8,068559983;7,163278164;9,210528239;10,41231029;34,85467668;106,6753262;26,48352625;94,14135985;61,55901938;44,31604407;62,35928215;31,7820777;74,09298576;1,664016911;0,026436505;1,873467967
3,047863687;2,25487487;2,393915444;1,70724172;6,764802211;10,98780744;14,67511867;8,627904343;12,22304742;11,06364795;9,6666947;8,193071139;15,61500058;16,17100212;16,07016597;15,88337242;3,17018505;1,959768047;1,814346104;1,151280527;4,127467692;2,007721718;0,828115812;2,379882217;1,402242236;4,445685965;1,779471346;1,30254596;1,698714256;4,885963138;1,144320515;1,211297915;5,837452708;1,452095382;1,698750589;12,73252645;1,492687848;0,605006915;2,171738321;11,80073289;1,109729062;1,128886653;1,292603115;1,462073185;11,1777101;1,217868978;1,478884553;0,911129322;1,085977901;10,92113983;2,678293212;1,387920511;0,657353961;1,202279605;1,789271739;0,912785315;14,46061058;1,421551548;4,950920909;5,294054041;8,088138119;7,794024005;7,745004987;2,499969964;5,129953098;7,093094323;4,269433084;4,723567685;3,904336658;6,188980062;4,993292015;3,150845971;10,24497495;121,34589;7,202657869;12,16905929;9,818495674;13,92216812;43,11238095;78,23350908;143,0085111;38,52259759;67,54693933;36,93897421;104,4859135;83,3381569;38,3190094;29,788831;68,1078404;169,3803447;81,2272627;41,97930761;46,17377441;152,1985412;61,49122185;43,73238536;46,97493401;107,9930378;28,45251916;32,40170552;47,1388131;79,54051861;54,62767782;21,71513576;5,822622682;8,508761074;8,065417929;10,51574037;32,91254206;102,9507173;23,07588359;93,99644376;62,25580892;37,20955379;65,74116347;28,25528029;71,21008242;1,568590069;0,030793229;1,884588937
3,549434031;2,35299946;2,403498763;2,196728229;6,75292091;11,3880947;15,3955189;9,263055062;12,78489708;11,78610941;10,34440088;8,623843482;16,11928596;16,91483505;17,19531345;17,06568222;3,505697573;1,989641969;1,788250283;1,461841009;4,039466248;2,809595669;0,259294404;2,467142361;1,840877852;4,409199127;2,499385263;0,736074651;2,244475357;4,864465607;1,506203745;1,463679257;5,65396048;2,043969813;1,790670028;13,23104238;2,091868243;0,189662023;2,632566843;12,28121635;1,424995672;0,631820734;1,41346295;1,791029626;11,65352607;1,44103532;1,221327931;0,903116203;1,227975855;11,32583065;2,962082365;1,868988165;0,198448711;1,611984914;1,513932487;1,10761842;14,99711732;2,107438055;5,244090045;5,783202106;8,576782784;8,527772596;7,54756885;3,479723301;5,495339542;7,28955754;4,914097108;5,029519241;4,233535821;6,500032127;5,261308982;3,834639842;11,02729215;123,3436188;8,651475212;10,19404387;9,660887497;15,94915957;44,45556614;78,88805262;143,8055144;38,9629577;68,6718468;36,17070991;104,8425567;92,67188714;37,71263278;27,54301039;65,25564317;162,219172;82,91717339;39,88056241;39,42143622;145,7477791;56,52922368;41,67717871;47,5413767;112,3827378;35,14256088;30,70187716;46,53829979;77,24017695;54,57364759;20,48567133;7,109552341;8,02611423;7,864271201;11,08803849;34,08797626;114,6401806;28,4224631;101,6657859;69,54386049;43,20714835;71,43303228;30,23275365;82,51825519;1,559341425;0,030580007;2,100650876
3,045964436;2,385220723;2,41439882;2,609526395;6,034184167;12,64253527;15,23700436;9,527112067;12,4854401;11,35155355;9,774704996;8,10975046;16,66584972;17,12893568;17,02745884;16,73712314;2,83746623;2,034170048;1,855259855;1,885329252;3,873214713;2,540730927;0,248927904;2,337430433;2,196617114;4,027847174;2,286494472;0,627298542;2,560695455;4,300216528;1,525883607;1,730269144;4,853597708;1,685013111;1,327968932;13,7241411;1,8044925;0,166962945;2,138902558;12,91710084;1,413902178;0,511063927;1,279753174;1,496108411;12,42810799;1,700293011;1,054129729;0,75772551;0,950602972;12,2030985;2,520759739;1,918404756;0,211313946;1,700164558;1,649017861;1,527451207;15,01698528;1,852315365;4,895404892;6,218487296;7,541569699;9,327730943;8,533881501;2,580010686;4,871636278;7,61380382;4,110358003;4,650478441;4,876633625;7,14404329;4,700827691;3,012982043;11,11389219;122,2896857;12,98232684;11,2702299;9,746160993;13,63804069;47,63675843;74,65292725;135,7206636;31,26126847;64,57209705;39,8872981;104,4593952;83,54732194;44,1524458;31,29700954;75,44945535;167,3578477;79,00487633;47,32296899;41,03000235;148,7994854;55,84611963;49,02737208;43,92599368;114,6317505;33,58462117;27,90384642;53,14328289;81,04712931;52,20378986;17,82301622;8,717179133;8,099706718;8,041757899;9,522129889;34,38077364;115,452954;24,13238679;103,9431072;71,69803063;39,34354486;76,10940919;27,83369803;83,20787746;1,532087819;0,024576818;2,211581848
