MOUNTAIN LION,Cougar-RCV,Track,trail,Trail-RCV,AGE,LRFH,QUAL,Sex,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,Area1,Area2,Area3,Area4,Area5,Area6,Area7,Area8,Area9,Area10,V77+V78,V79+V80,V73+V74+V75+V76,V22+V23+V24+V25,V94+V95,V96+V97+V98,V22-25/V77-78,V22-25/V10,V94+V95/V101+V102,V22-25+V10+V68,V2+V3,V1+V2+V3+V4,V1+V2+V3,V2+V3+V4,V93/V2,V93/AR 4,V93/V2+V3,AR10-AR8,V93/AR10-AR8,93/94+95
Female Bow legged 11,Female Bow legged 11,11a,11A,11A,,,,F,"2,32780818","2,2886965","2,00263779","2,08435032","1,35082189","1,86310911","2,21324093","2,2886965","1,87375553","4,93436512","1,92033686","1,44694367","1,92610515","4,13594954","4,98085543","6,11482391","4,42042825","2,66475939","2,31609604","2,70615133","3,40867258","6,60039619","3,03535985","1,57903955","10,8041686","3,04713491","3,11154721","3,73114274","1,69292526","1,5406706","1,59231927","1,40018634","3,07139334","3,39870609","3,34910135","3,34613026","3,65281048","2,15773948","2,18148455","4,38715268","4,55537248","4,01917475","2,56745926","2,96000624","2,78024621","3,82455409","6,33567479","6,36026166","5,61210608","4,80064294","4,37642029","1,28135291","1,38203705","1,4798805","1,24224383","1,41742882","1,51815959","1,40018634","1,56102054","1,35788322","1,62795667","1,20392991","1,73323201","1,53669274","1,24746788","1,72082789","1,71581884","4,0848092","4,48946674","3,14398136","3,29132355","3,50305492","2,59807175","6,69743157","5,28690821","2,79806841","12,7432418","4,01900899","13,5686838","6,9354169","71,3992314","64,3211901","42,1131245","66,4876441","90,4689467","88,5267634","77,0986646","84,5693349","37,6302187","30,4389824","37,2889599","115,149199","140,983533","3,77481968","4,1659927","3,91173024","2,15145163","2,65997656","4,02908214","3,91173024","6,72817601","1,99498242","4,38113787","42,7722734","6,68121712","2,12329291","2,13610803","2,37634367","14,5881948","25,9779656","14,6669988","8,87877281","30,1713783","16,76225079","20,5041007","17,38047994","22,01896419","7,94081238","8,72315843","1,3136042687","4,4623702654","0,9103139011","31,03813851","4,29133429","8,70349279","6,61914247","6,37568461","61,59992511","66,00018867","32,853076333","15,5043795","9,0931425537","17,75429594"
Female Bow legged 11,Female Bow legged 11,11e,11A,11A,,,,F,"2,1701369","2,41509857","1,95508614","2,09054527","1,51961376","1,54140186","1,71201488","1,93931979","1,55053211","4,95618361","1,80492628","1,53095","1,97814336","3,72265749","4,99515442","6,54436098","4,65265828","2,54024917","2,45490525","2,84530156","3,69905942","6,30689605","3,14181556","1,86981974","10,8213437","3,38844409","3,47177387","3,41892453","1,68866742","1,8320929","1,64666498","1,14264792","3,66851693","2,94355867","3,36393432","3,29932484","3,28743148","2,19396277","2,48189016","4,63846936","4,42364652","3,70979573","2,32282683","3,2909636","2,99770926","4,17843115","7,07918508","6,54767627","5,18037477","4,2464525","4,09651199","1,31065037","1,28206874","1,4049886","1,30200625","1,31937159","1,57547949","1,28577912","1,52910492","1,47734329","1,2359627","1,23881448","1,25128513","1,37143483","1,36821474","1,29180282","1,67555604","3,42305055","4,5473709","3,54618915","3,21696821","3,34888878","2,53248738","5,97184034","4,47940204","2,60629142","11,976563","3,61647104","12,8760774","6,30121439","59,3729655","63,1814358","42,3718082","78,2552263","84,2115387","80,7259234","91,8779797","94,4469163","42,7082837","31,5314493","29,9091914","104,431392","147,1751","3,75700321","4,11391852","3,34373286","2,87410746","2,14149183","4,00120842","3,86971331","6,81896083","1,54037132","4,28298366","41,3811599","6,47848471","1,82684334","1,66628438","2,00733984","13,8588846","25,8378178","14,857301","7,41570655","29,5913686","15,59303404","19,17729179","15,59002118","22,13987505","7,87092173","8,35933215","1,4198567766","4,4671216388","0,9415730334","30,51910921","4,37018471","8,63086688","6,54032161","6,46072998","60,9395831","88,325319355","33,677089132","14,7340676","9,98876237","18,698585127"
Female Bow legged 11,Female Bow legged 11,11h,11A,11A,,,,F,"2,260818","2,53678241","2,44297057","2,05157419","1,54922654","1,71562953","1,95403851","1,47391723","2,27178416","4,88594115","1,60347022","1,8464836","1,74027125","3,97181725","5,05743938","6,15441196","5,01572107","2,74138397","2,31605541","2,983647","3,17076497","9,29786755","2,85990718","3,10203192","14,930572","3,25646995","3,15911045","3,35406051","2,0856007","1,29865408","1,61093153","1,36901444","3,56100356","2,8885168","3,64359972","3,75776637","3,4883732","2,32247465","2,07135447","4,0864467","4,71101193","4,5483605","2,35682428","2,08241169","2,92532973","3,87130471","6,27364001","6,55947155","5,70705625","4,89734591","4,2734857","1,35112474","1,32002434","1,24926985","1,56263034","1,44858397","1,68052421","1,40076429","1,58471808","1,48038826","1,55862131","1,42377658","1,78610553","1,16385343","1,26035007","1,35112474","1,28695849","4,23918685","5,23570588","3,32635674","3,04643645","3,61499959","2,57358483","9,20823652","7,67036286","2,99241893","15,1388952","6,59955243","17,3110898","10,4119983","75,4317484","69,7367836","39,7683617","64,7998898","85,4654846","82,0708842","87,9362423","89,189645","40,0598359","30,7941111","32,9880849","119,985034","133,014075","3,87789837","4,21348573","3,56095475","2,49826145","2,47961771","4,30670444","3,78467966","6,58126739","1,9576817","5,08974161","44,1003698","8,67930099","2,15261943","2,36099911","1,51183889","16,5044005","26,3827095","14,6458907","11,0557672","30,8810341","21,73844763","27,7230881","22,44460314","30,19037865","8,0913841","8,53883391","1,3888010388","6,1790303491","0,9475854716","39,31550665","4,97975298","9,29214517","7,24057098","7,03132717","52,434167974","56,338045379","26,710978543","16,2351434","8,192971982","16,438976738"
Female Bow legged 11,Female Bow legged 11,11l,11A,11A,,,,F,"2,55555821","2,35315714","2,29956095","2,57983754","1,50973573","1,66511766","2,24490495","2,13681919","1,80527898","5,0483462","1,87320393","1,59852504","1,71641784","4,20534412","5,23731701","6,15701693","4,16862066","2,48948701","2,74783","2,40827969","3,74873725","8,40760279","5,46171109","4,02887282","17,495602","3,14647455","3,20167122","4,23779757","1,31184396","1,69067083","1,54586355","1,46214296","3,22444828","3,41282233","3,94428782","3,39014793","3,9489081","2,81247792","2,03164431","3,82009496","4,48644891","4,61748983","2,85665183","2,56495856","2,91476396","4,00116535","6,38688964","6,32162477","5,75222324","5,04106822","4,29807334","1,58381319","1,26557167","1,89218185","1,10218254","1,38600878","1,38600878","1,518686","1,48388979","1,50859279","1,47589751","1,63284025","1,83062555","1,57679651","1,67132144","1,55476434","1,89022746","3,99160829","5,10228622","3,25297606","3,34149263","4,09130642","2,67281141","8,88410712","7,55927105","2,92862636","17,622594","8,65351775","21,0237671","13,58677","64,5544085","72,5564425","48,2848351","67,1607564","97,9893268",90,"83,9041385","93,4533163","36,9250255","31,3316848","43,3505814","112,333388","149,11178","3,88492924","4,5953163","4,30672156","1,5539717","3,10794339","4,50651792","3,97372762","6,52668112","2,44195552","4,92831023","47,4649234","9,81259832","1,95896764","2,57696648","2,73195902","16,2310941","27,0532199","18,1270759","10,1114763","36,0716169","26,27611175","34,6105371","22,04481594","35,3937887","8,48024554","8,96863665","1,3469949069","7,0109670173","0,9455445549","44,43374319","4,65271809","9,78811384","7,2082763","7,23255563","63,36669042","57,863298245","32,048316084","17,944541","8,3095900865","17,583427189"
Female Bow legged 11,Female Bow legged 11,11o,11A,11A,,,,F,"2,34234216","2,16973278","1,97478417","2,12463909","1,38904294","1,64767929","1,71285648","1,97478417","1,59741961","4,67936371","1,77855223","1,45272116","1,80413479","4,02816328","4,90102072","5,91200268","4,46802465","2,48127482","2,4197459","2,52715706","3,38484562","7,73603146","3,83448216","2,06149381","13,359031","3,16334764","2,97592918","3,81943356","1,89411666","1,58041036","1,45756627","1,60958418","3,14300053","2,92358513","3,64481848","3,53888911","3,85666256","2,70911977","1,88792287","3,56072238","4,35776667","4,29205465","2,41053436","2,33238819","2,96902503","4,03236171","6,29437004","6,41057199","5,49364291","4,72205925","4,2951558","1,44493519","1,22352771","1,37116301","1,4091994","1,32886141","1,34433425","1,34433425","1,43235681","1,27543958","1,16871037","1,31874235","1,48709566","1,49340362","1,36446221","1,35217808","1,60168039","3,83300764","4,95277478","3,11240462","2,9697713","3,69611671","2,65957507","7,91218048","6,60929526","3,01853038","14,8827009","6,2106775","16,2381662","9,18946803","73,9128491","78,205053","43,6983872","62,3887637","91,4132036","87,5314533","87,3051877","90,1779366","40,0165554","30,138689","40,2409082","112,424203","143,864303","3,9674383","3,94575831","3,90239833","1,79943923","2,97015873","3,9674383","3,94575831","6,5256772","2,14631908","4,83463793","42,5971535","8,42511435","1,78608359","1,69043411","2,09582808","14,5182745","25,8467446","15,3144032","9,49185922","30,4689409","21,0933784","25,42763423","20,19958119","26,99103843","7,91319661","8,67199629","1,2795976974","5,7681001313","0,9125000005","35,50340978","4,14451695","8,6114982","6,48685911","6,26915604","66,305078822","85,104945617","34,711959134","15,1545377","9,4931502265","18,180301854"
Female Bow legged 11,Female Bow legged 11,11r,11A,11A,,,,F,"2,26763273","2,20853744","2,46805999","2,32857011","1,33461282","1,57592954","1,99074196","1,94461304","2,06334619","4,61939977","1,72569323","1,48324494","1,69435115","3,92578386","4,70956053","5,58859919","4,06559659","2,44144228","2,26811825","2,48550796","3,10309123","5,69513036","2,99015015","2,79011052","10,9779678","2,92843618","3,03562126","3,33794053","1,45470419","1,5451862","1,34381103","1,46078247","2,92577826","3,22211092","3,33171931","3,31239842","3,63402593","1,9495987","1,93738734","4,10705978","4,48283567","4,00983864","2,4492537","2,50883149","2,59958017","3,75257625","6,02794586","5,96936651","5,2669261","4,41266932","3,73120703","1,27430851","1,33347884","1,22307978","1,42619841","1,27651129","1,35581888","1,16368164","1,61467325","1,42619841","1,72506696","1,3604335","1,78902544","1,42665292","1,69230914","1,46432878","1,4844101","3,95146294","4,66201012","2,97902985","3,1084285","3,4378602","2,51604589","5,80266437","4,40682409","2,53384461","11,6613461","3,71946645","13,5327084","7,19162946","69,454333","65,738546","44,6157708","65,9298962","88,822391","87,1458476","84,637152","88,5643988","38,3075374","32,8998526","36,3070426","110,23377","143,862241","3,55508587","4,19957512","3,7006157","2,09978756","2,14136751","4,24115508","3,51350592","5,96672307","1,97504771","4,303525","39,2376449","6,12552078","1,70144622","2,38889705","2,253179","14,0701585","22,7090015","12,6567195","9,03346271","28,5234827","15,38081255","20,72433786","15,25937896","22,45335883","7,75466099","7,94177077","1,4598291707","4,8606658761","0,9764397897","31,02422154","4,67659743","9,27280027","6,94423016","7,00516754","65,139145207","60,221197477","30,762160557","15,8667632","9,0668927989","18,551712471"
Female Bow legged 11,Female Bow legged 11,11u,11A,11A,,,,F,"2,51064745","2,30915015","2,4245214","2,49810893","1,66413171","1,9117","2,08504985","1,91839002","2,14081","5,01473685","1,88763254","1,62935042","1,81323769","4,53475641","6,30905358","7,04677933","5,14176993","3,11682082","3,19223276","3,14611389","3,90066544","8,29615486","4,37868084","2,44507644","14,7748651","3,61877812","3,49705369","4,36511697","2,00808767","1,84904362","1,64500138","1,90459084","3,31404324","3,60479803","4,35157186","4,06102309","4,22313567","2,48100581","3,00204159","4,42562627","4,98695015","4,54809804","3,5543684","2,88168188","3,048145","4,87719536","6,9946102","6,84632672","5,99294859","5,8412575","4,92924867","1,44030853","1,4255825","1,29171746","1,86958017","1,38627315","1,53765552","1,45954006","1,60715178","1,44934967","1,67331465","1,69464682","1,58622668","1,48580946","1,63872827","1,33739006","1,81115836","4,0957628","5,29613597","3,31617167","3,52773438","4,18409509","2,63150205","8,47018972","6,86452437","3,29687587","15,7322725","6,6090456","17,185761","9,76375052","61,8047726","60,6933519","51,5366999","66,6585275","83,8382898","90,4219419","88,3545114","93,6135433","34,2942455","29,7055287","38,0811002","109,542871","141,789511","4,5950152","4,68467403","3,81050041","2,24147083","3,07081504","4,77433287","4,50535637","7,19512136","1,92766491","5,17779762","54,3122635","9,27729683","2,19582289","2,52616348","2,34504137","17,4422344","34,2785512","19,8484983","10,7477504","38,8829715","22,3413181","26,94951152","21,26309201","29,89477724","9,27968923","9,12278628","1,3380937108","5,9613850406","1,0171990174","39,00527689","4,73367155","9,74242793","7,244319","7,23178048","61,403331005","56,128398705","29,953390197","19,0344732","7,4490903694","15,279553818"
Female Bow legged 11,Female Bow legged 11,11c,11B,11B,,,,F,"2,17902667","2,45847181","2,20640204","2,0673704","1,42308656","1,62736174","2,23080071","1,74271295","1,69785008","4,78233845","1,58881188","1,66512659","1,95024525","3,58428125","4,81045969","6,34998865","4,74600227","2,25690562","2,55355408","2,40715282","3,94283584","6,41705307","3,24742148","2,35356174","11,8308871","3,26792505","3,31412074","4,07467885","2,10080159","1,33887011","1,55712444","1,02509451","3,53853284","3,53959291","4,16011191","3,69685243","3,16669806","2,49172847","1,94483372","4,30376918","4,83302837","4,1807401","2,50812652","3,06078316","3,26863037","3,8643225","6,6564818","6,67834609","5,2682044","4,71241955","4,68794165","1,34857556","1,15860925","1,65057901","0,99052778","1,50864171","1,52559857","1,54976429","1,31639815","1,47062428","1,52583275","1,52395826","1,75710776","1,26363478","1,35320418","1,2436844","1,53993469","3,98450247","4,69098933","3,43693263","3,47052407","4,11286309","2,46311022","6,3591821","5,11240502","3,28463034","12,5509612","3,83645344","14,1976152","6,88237136","65,7003322","62,0317323","49,0096729","65,289995","93,2051623","90,9881709","82,8313821","95,4943571","42,7846887","30,7939957","39,8945456","117,814546","141,819305","3,40242766","4,76339872","3,53474429","2,55182074","2,62743025","4,66888684","3,49693954","6,76705056","1,94694472","4,36644883","45,2291542","6,62074536","1,99444756","2,45000482","1,78185417","14,2509031","26,3628308","16,608827","9,29801306","34,4042204","16,38741464","21,07998656","17,21932768","23,84892339","8,16582638","8,71399528","1,4553194579","4,9868748604","0,9370932755","32,61576431","4,66487385","8,91127092","6,84390052","6,73224425","57,685959393","57,885316732","30,401530579","17,7953934","7,9694391583","17,367416156"
Female Bow legged 11,Female Bow legged 11,11f,11B,11B,,,,F,"2,27724339","2,2026612","2,38861159","2,29657142","1,52202916","1,66205161","2,0338359","2,08721142","1,57518157","5,01510833","1,68162053","1,69686709","1,91856729","3,53523242","4,83706274","5,68858275","4,66517001","2,36624511","2,47081764","2,48663734","3,20194541","6,63613826","3,95218312","2,70646974","12,7552802","2,8875098","3,26387706","3,53916822","1,61198245","1,56364975","1,59461612","1,00465122","2,91056031","3,28497587","3,63756656","3,33831243","3,26345049","2,28637883","2,18099153","3,85528705","4,54693449","3,83319734","2,65169542","2,60466846","3,12945667","3,63785359","6,02675241","6,55735811","5,29265749","4,76091232","3,63311471","1,35817037","1,40799563","1,16565819","1,53523474","1,27312027","1,40762479","1,38104107","1,45707274","1,51676062","1,39570607","1,63598563","1,75454792","1,37421983","1,61995141","1,46481526","1,73058029","3,62198517","4,51692549","2,79990926","3,2980401","3,65278339","2,1485343","6,75383858","5,29183858","3,12466072","13,4200893","4,70328871","15,1955814","8,29226639","66,4749808","69,4179419","48,1917561","65,3332632","91,2430471","87,4236833","88,0225457","92,9626454","36,3159663","34,9552694","38,3957645","113,321019","148,068375","3,45134238","4,3281699","3,52596599","2,12677314","3,05956838","4,04833133","3,73118095","6,86537294","1,84693457","4,29085809","41,8276074","6,56603626","1,8247883","2,42899057","2,36373255","13,6319656","23,8412786","14,0691208","7,83305084","31,4085987","18,12337801","23,48784779","17,31887218","26,05007132","7,77951228","8,71230751","1,4373739435","5,1943187676","0,8929336196","34,68716482","4,59127279","9,1650876","6,86851618","6,88784421","67,222492047","60,958810145","32,249962434","17,3394779","8,5393790894","19,033117973"
Female Bow legged 11,Female Bow legged 11,11i,11B,11B,,,,F,"2,36402711","2,23449339","2,06551543","2,17559505","1,63434127","1,84107242","2,07027493","2,10999311","1,76815649","4,59611023","1,65605975","1,52714093","1,44818224","3,84351729","4,85663505","5,88278047","4,2204425","2,56967213","2,28696291","2,60440926","3,27837121","6,68482644","2,78840677","2,46880971","11,5626755","2,82682903","3,01600357","3,57267024","1,50327678","1,55463417","1,69298627","1,16597563","2,86830503","3,18628028","3,3953748","3,31444424","3,47682158","2,0346314","2,01337482","3,90497217","4,45518422","3,80272763","2,64856164","2,73616779","2,7292251","3,50354978","5,88027037","5,924495","5,16244178","4,53787678","4,01829237","1,37357037","1,42494786","1,60940817","1,34460345","1,42794775","1,45407997","1,44092462","1,46740901","1,27467998","1,56519557","1,51518523","1,49814418","1,47743549","1,60927522","1,46740901","1,5066888","3,83337239","4,10614694","2,91134113","3,05719647","3,41930682","2,30383712","6,82345545","5,45039183","2,65311238","12,5455972","4,31225296","14,1838323","7,56101461","66,80906","70,4360988","46,3084418","66,8824983","94,2014161","89,1263288","82,7063543","93,0832475","35,5657723","30,7688997","37,0032123","119,285972","142,92087","3,66145863","4,07518277","3,74420346","1,98587587","2,50303104","4,13724139","3,59940001","6,14380346","2,0893069","4,07518277","39,9935384","7,0193406","2,05657947","2,12932573","2,29150709","13,3583523","23,2922816","13,5891807","7,54806602","29,017412","16,85785016","21,74484691","17,23079678","23,50471842","7,7366414","8,23311037","1,3942892004","5,1140458439","0,9396984932","31,93420104","4,30000882","8,83963098","6,66403593","6,47560387","63,961196144","67,120247497","33,237343453","15,4282313","9,2635939416","18,473244734"
