W/C TIGERS,Tiger,SEX,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,Area1,Area2,Area3,Area4,Area5,Area6,Area7,Area8,Area9,Area10
CAPTIVE,M541,M,"3,205367883","2,887805367","2,708196628","2,910179401","2,082426065","2,014035107","1,850129064","1,867721812","2,813425504","8,333106222","2,844254261","2,48703483","2,611681899","6,71836502","8,269086532","9,354471226","6,678411451","5,328498719","2,940587813","5,473713448","3,880757779","5,277828525","1,802338609","1,242021228","3,497886532","4,158041247","3,79637718","4,061221397","3,476829496","2,760226505","2,160531154","3,571331238","4,244318199","3,531581185","3,929019308","6,373044791","6,776526774","3,466798191","4,225768997","6,074145532","5,42708089","6,134202866","4,999605653","4,887503522","2,764823498","7,112072774","9,870969415","8,963179756","9,066149465","8,364443617","7,410599662","2,115406246","1,796317319","1,85894625","1,876165839","1,704456054","1,851601511","1,320678759","2,117723936","1,721954428","1,598512384","1,466191363","1,778018194","1,771876489","1,631252128","1,382382285","2,129530512","6,428396228","7,158593603","4,291354682","3,627008697","3,887565597","3,394578613","1,000926942","1,237656083","2,629066848","5,585272629","4,92429362","4,523459609","4,028190309","68,59283706","78,43811786","47,64229965","63,76486329","89,84198537","81,5744696","86,08342968","95,77133489","29,99868154","23,87164956","22,2848597","101,4410439","101,6583821","25,29945544","19,26174016","21,96225092","7,065631361","4,985562315","5,579867757","2,179119952","2,740408425","4,52332475","7,527868926","7,759268699","2,741203899","5,976071384","8,742267436","10,51687642","8,386700075","5,474249301","8,262228487","12,05119368","10,50956625","8,551649918","8,618440857","11,27170501","12,99346728","10,94192514","88,96798317","3,324321673","2,791252875","2,500735831","2,664253867","34,32352588","61,55854491","17,6899262","21,60400292","47,01252548"
CAPTIVE,M541,M,"3,165034302","3,16130854","3,192838944","3,173958289","2,18526282","2,378921088","2,044270323","2,332393693","1,893426989","7,870396945","3,372349793","2,532027442","3,107541507","6,179521779","7,816907315","9,726374786","6,94001886","4,950323005","2,86658431","5,144365864","4,582008922","4,938051004","1,693366848","1,452736973","4,490142358","4,222682441","3,691032552","4,886396214","4,20842461","1,592539056","2,023409876","3,481029936","4,439285414","3,626936628","4,820103175","7,351349028","6,642758715","3,984207662","4,397350622","6,896000001","5,380575329","5,771565464","4,979430219","6,366989756","3,688196379","7,299868359","10,54271425","9,818270465","8,272369281","7,998727094","8,418529285","1,940154942","1,964302168","1,724016823","2,060349101","1,817849659","2,265754723","1,780512793","2,028064074","1,920618585","1,660645324","1,777863219","2,269912074","2,107849667","1,888440997","1,710290356","2,184723449","5,255235361","7,11178431","4,218127858","3,819242035","4,842321113","3,33244556","0,553738112","1,284648126","3,427349577","4,906588918","6,023930949","3,643250731","5,051974346","73,30389028","75,29787692","42,64080507","64,05530465","83,65980825","77,43885833","79,31235135","98,08811205","32,52222555","20,87121498","28,27961721","98,10169592","111,4830186","22,75639157","13,61592666","25,25326723","6,845466805","6,117225656","4,903490407","2,912964598","3,107162238","5,728830376","7,233862085","9,370036124","1,553581119","5,291885686","9,749248587","11,38222254","8,523844118","5,222165553","8,598181375","12,96269246","10,93051987","8,695225077","8,355577722","11,67136298","14,39635319","12,05091807","91,95894027","3,441286004","3,695846886","3,252722387","3,693489841","27,71295903","61,58723424","17,41502852","18,19049639","51,6735021"
CAPTIVE,M541,M,"3,26234177","3,33941119","3,475563104","3,295512309","1,998536991","2,110690309","2,570874695","2,117665895","2,887868664","8,554111874","2,535980315","2,630184021","2,667993623","6,313508461","8,335600473","9,544171091","7,199685104","5,404012171","2,931588302","5,573504492","3,970666599","5,363668659","1,892121556","1,364031665","4,000574965","3,717493694","3,724099641","4,413520457","3,389636211","2,608366125","2,886165911","3,559416264","4,288534135","4,02190172","4,317807745","6,659104216","6,649408033","3,222952944","5,222875479","7,504166698","6,64731665","5,400036143","5,256226429","5,850292227","3,863799671","7,151558213","10,04096367","9,794117516","8,208125486","8,115294504","7,32348603","2,18056921","1,678697865","1,921731677","1,855355197","2,05403298","1,921731677","1,913721089","2,013241325","1,944617809","2,239788502","1,851044653","2,562974973","2,104567705","1,830011269","1,593439832","2,320369441","6,161400859","6,783259484","3,972193925","3,896726504","4,186463578","2,671287623","0,659094878","1,514929316","3,287832817","4,629574687","5,857113429","3,821300976","4,837977382","68,51816779","68,7741065","49,56087143","61,92096077","98,65254179","85,78582148","81,29777621","90,60950658","24,831304","22,77741157","26,07010715","92,25668397","107,7812731","18,21510911","18,45605878","24,07319102","7,36189816","5,503895291","4,627478843","3,120042554","2,734419317","5,18838537","7,677408081","8,378541239","2,103399474","5,574008607","9,227362545","10,72968563","8,651113813","5,66672197","8,133144634","12,86579345","10,48668812","8,659278357","8,928993394","11,97809616","14,04936843","11,55360227","94,70068454","3,213754624","3,524069363","4,331502169","3,461391931","31,80142315","62,17232607","17,5490666","17,4169524","52,26621932"
CAPTIVE,M541,M,"2,937153566","3,165354436","3,265929862","3,53227886","1,859164676","2,055125069","2,366694444","2,112811457","3,34621665","8,089062946","2,882125619","2,66622158","2,839358981","6,782124496","7,724084318","8,316036462","6,810379394","5,129892654","2,594191664","5,158795506","3,157240956","4,958459141","1,775011661","1,450952925","3,0684151","3,644348355","4,312963888","3,85100773","3,422757296","2,491941543","2,148264627","3,378647353","3,943951286","4,709617301","3,479172551","6,951920741","6,287287571","3,556154963","4,781652737","7,01521458","7,13399432","6,428007535","5,621519302","5,24943933","4,010590839","6,127295602","8,881930417","9,206354345","9,421775542","8,515766076","6,685753429","1,846532775","1,736985195","1,683804284","1,692312379","1,908856545","1,937621","1,784417041","1,918862268","1,891219156","2,216031368","1,583517236","2,316720218","1,925503865","2,109031602","1,764029887","2,39972799","6,587165287","6,177786644","3,796383752","4,548075531","3,674081539","3,310776842","1,386522811","1,355790244","3,243649","5,78323127","5,848578516","4,80791279","4,873326569","84,53660834","84,24653106","45,29175373","50,17163793","91,10505394","87,42443176","80,58025332","95,0404933","28,15133655","30,91493324","27,24132465","110,6234279","107,5264302","25,32259992","25,58632715","23,33045722","6,751703297","4,859921697","5,773195573","2,674587779","3,163841642","4,17496629","7,436658704","8,709268451","2,904554951","4,990389393","9,149323385","9,705439683","7,737295419","5,467592807","9,296738898","11,61162499","11,63180979","9,681239359","8,314757072","10,89707956","12,77938414","11,71801302","94,69344766","2,728810494","3,249039863","3,719799568","3,634158537","28,49559028","60,0811728","17,42396034","16,26115727","53,38627829"
CAPTIVE,M541,M,"3,167202856","2,834942023","3,254582114","3,303549448","2,070830155","1,960013648","2,405137489","2,088080526","2,786628557","8,954960302","3,272769761","2,768332197","2,573263512","6,89509853","8,253261522","8,835565411","6,965590548","5,217481734","3,035779787","5,277268191","3,55829722","5,101750483","1,707303698","1,51997205","3,419284453","4,153706481","4,024628455","4,240093368","2,984064665","2,993209493","2,806175512","3,519114285","4,112480938","4,373262135","4,093329779","6,249430943","6,663285074","3,594508628","4,143933589","6,331791939","6,545854021","6,067448851","4,66694184","4,60357927","3,771210367","7,201431391","9,964706905","10,2405621","9,168906089","8,247412604","6,592605086","2,009712931","1,945580683","1,648280818","1,980819329","1,696540846","1,92971252","1,714568351","1,573795752","1,856168152","2,127586886","1,858697149","2,227409451","1,939645335","1,961538188","1,719045688","2,185800902","6,398130359","7,335446231","3,983218943","4,218000882","4,079643247","3,543350114","1,016248852","1,431497915","3,391154838","5,875312633","5,904543044","4,822067818","4,909741779","80,18001491","84,11758946","43,8682747","55,95171039","95,65602715","91,48304267","86,25692203","90,6283842","30,16117609","26,96749824","28,07290788","98,50885264","113,7021696","23,53617237","21,15045365","23,33062173","7,306163361","5,055865046","5,874155342","2,659443463","3,243936532","4,822067818","7,539960589","9,118091875","2,659443463","6,341749797","9,818526751","10,70627938","8,856034451","5,940589268","9,382251718","12,36202841","11,77985568","9,731809597","9,086047686","11,65111102","13,68668869","12,0821942","101,3148567","3,270700773","2,776615279","3,860016228","3,415894436","37,61156425","67,34295597","20,39543921","20,8873895","55,35380279"
CAPTIVE,M541,M,"3,17359354","2,75768878","2,95751702","3,70284471","1,71912659","1,970855475","1,979848995","2,309968796","3,103853488","8,160327956","2,801288599","2,739452493","2,470561399","6,0642877","8,345225531","9,376001099","7,288589217","5,139731629","3,205493902","5,494672044","3,881329055","5,155394252","1,910663993","1,460929325","3,477759498","4,179373851","3,933493168","4,051724452","3,804264969","2,877487007","2,333742686","3,144672707","4,109564734","3,777485824","3,753897368","7,506949596","6,306069479","3,05991989","4,98683906","7,021341447","6,865459357","5,704698419","5,388552518","5,448701991","3,970566321","7,084648663","9,822031616","9,499097496","8,430399309","8,458124905","7,396087669","1,869412237","1,768607959","1,650205279","1,931837649","1,582292086","1,774696129","1,453550859","1,938067813","1,863973936","1,561301568","1,897038857","1,797078327","1,848249686","2,440329053","1,601027524","2,682108496","6,181896897","6,751454148","4,125188373","3,84208892","3,834332745","2,89971826","0,860088645","1,447936311","3,207062714","4,752461332","6,04858715","3,92639392","5,18716261","66,66441269","86,38750556","58,38769336","54,94789396","86,742093","78,23720661","82,78837946","103,5716076","28,49866887","24,78078676","24,24918693","97,05097415","108,1078367","19,81189837","19,91761246","21,96260085","6,981989393","5,628338388","4,702156121","2,529190035","3,455372301","4,060953014","8,549374766","8,766656176","1,939704003","5,806450362","9,524445189","10,76391832","8,696680794","5,219015176","8,414805929","12,61032778","10,80104848","9,11355653","8,373157386","11,45097937","13,4523483","12,479283","93,06896771","2,723177463","2,656557325","2,906541463","3,883002348","31,77653702","63,12607068","19,02924941","17,94302392","50,86923419"
CAPTIVE,M541,M,"2,825865812","3,265983576","3,318314596","3,53131999","1,880016764","2,179725042","2,387205398","2,321750893","3,727316642","8,180912675","3,118626318","2,376468712","2,458315002","6,361709791","7,824095413","9,182721916","6,768959174","5,159174514","2,664920899","5,285498365","3,897223552","5,114422546","1,77594525","1,360403339","3,966060663","3,813526307","3,538934705","4,32302058","3,763790253","2,416067548","2,477946933","2,88058637","4,03975693","3,933064461","4,096005229","7,294017173","5,70081515","2,68321357","4,576676119","7,173423426","6,78897897","5,85720171","5,124963189","5,437120252","3,320895753","6,321490066","9,264149248","9,04991817","8,617193655","8,113177781","7,688569186","1,812213136","1,644388116","1,692786519","1,638237783","1,974643085","1,964049613","2,202453521","1,702301085","1,906674916","2,091491199","2,076637129","2,102722917","2,102402843","2,12056993","1,791296538","2,422743317","6,652935058","6,711448537","3,791704976","3,760116266","4,017398569","3,102499947","0,749999686","1,267123856","3,099042394","4,81456328","5,659868283","3,796177727","4,643867899","75,43619644","70,1721824","48,06685798","56,49694558","87,74482416","90,52002063","83,52209855","94,93774484","28,90833346","22,22775488","26,29373012","103,4670375","100,8285593","22,47812709","16,43109425","24,43763666","6,970564689","5,613138934","4,806020917","2,531415598","3,118410519","4,98945683","7,594246793","8,774451299","1,719607733","5,466390204","9,118813069","10,41302198","8,026028696","5,152035271","8,218665883","12,58370362","10,47443156","8,440045626","7,951899219","11,20641805","13,49330436","11,66888887","90,01709356","2,649501326","3,524368413","3,95507221","4,041885944","31,55107205","58,77491689","15,80952125","18,2827032","49,61438551"
CAPTIVE,M541,M,"3,229195269","2,978153474","2,856760075","3,555988135","2,196633548","2,183132984","2,035676766","2,492196301","3,663821457","8,854686856","3,255789091","2,622729681","2,492196301","6,413314423","7,887969296","9,107205442","7,12383123","5,096747977","2,79122132","5,283591482","3,82361396","5,046964784","1,73243901","1,633225798","3,16966925","3,970871298","3,907230669","4,331851372","3,717062184","2,773620558","2,890837941","3,139249399","4,127993595","3,746112491","3,765954587","7,261868292","6,33951577","3,337167894","5,08091994","7,257673554","7,363325303","6,333034872","5,5480235","5,494452103","4,006425449","6,791234806","9,904879094","10,07791959","8,996017471","8,360075187","7,458030096","1,945954843","2,093257996","1,551469013","2,198875584","1,963599872","1,83920904","1,619454151","1,973299811","1,713696666","1,915006461","1,633088711","1,754893764","2,308202368","2,037491365","1,909530862","2,444032172","6,639809329","7,106431409","4,044730906","3,767916428","3,847479498","3,242914095","0,793834239","1,48662281","3,462781668","5,272460052","6,362101796","4,076249547","5,235872263","78,43256014","91,58017247","45,70298042","55,86445944","89,72758198","80,97472394","83,46427686","95,42399795","30,04322652","25,29906917","27,6622204","100,97884","107,7126449","21,66478792","18,42556376","23,18405522","7,195064432","5,089191915","5,264681292","2,842927897","3,509787528","4,45743016","7,826826187","9,546880145","2,071964058","5,405072793","9,971750485","10,99773874","8,649757252","5,678484796","8,986152813","12,28425635","11,63456185","9,31212181","8,888082155","11,61946423","13,62448706","12,54841078","97,79558501","3,465224568","3,244721476","2,893641134","4,421764517","33,13089753","65,77151445","18,05476853","17,88538767","52,42368622"
CAPTIVE,M541,M,"3,275031065","3,451489856","3,244834542","3,498159177","1,990623505","2,23566079","2,260465666","2,134892466","3,234647756","8,167172334","3,159181235","2,352001286","2,771369662","6,735089815","7,848048222","9,222370697","6,898774525","5,099056171","2,74899205","5,214684568","4,007686129","5,025828054","1,959170925","1,408830668","3,750603407","4,160440845","3,958457116","4,477934084","3,521988985","2,432632005","2,661396224","3,070028149","4,175049228","4,361681163","4,38873222","6,99314577","6,344335408","3,279289371","4,723700831","7,424814589","7,248779049","6,054247858","5,108431079","5,651649312","4,122090805","6,580223742","9,804222023","9,69731503","8,839027891","7,878368538","7,332122105","1,996047168","1,782511955","1,882495941","2,008551003","2,224689721","2,114539288","1,871278779","2,042263304","2,127416581","1,793015197","1,754520226","2,255173303","2,133559408","1,808183731","1,628368546","2,657330898","6,418876506","6,665623401","4,154330977","4,225380167","4,345034599","3,621883003","0,89866616","1,354347828","3,334878543","5,539137734","6,147091876","4,657149306","5,09586627","79,76089198","80,64941665","40,70114061","59,53796741","91,94163287","94,06486422","86,00392383","97,06502","32,00721384","25,20356905","27,76732324","103,9718724","112,0810727","26,68451783","18,58519079","24,43037203","7,084252614","5,431260338","5,532463947","2,597559292","3,542126307","4,857773221","7,657739731","9,276997471","2,395152074","5,633667555","9,526348729","10,80142766","8,284147147","5,539247834","9,209775535","12,51551295","11,68622961","9,753015576","8,768448972","11,63230208","13,76687371","12,1271787","99,97211854","3,258717225","3,857884195","3,663282957","3,651333758","32,151311","62,87383922","18,32779497","18,40005918","58,19430535"
CAPTIVE,M541,M,"3,134390599","3,127245866","3,170225535","3,708419703","2,188418029","2,369039386","2,554407408","2,41948989","2,522685354","8,371878941","3,595720032","2,510686254","3,122951179","6,407306253","7,44122855","9,555259611","6,576658165","5,001336005","2,439892546","5,115244761","4,44001485","4,941606863","1,975140193","1,423559664","4,098470766","3,791041306","4,084171984","4,67749767","3,211237399","2,336236816","2,284437706","2,970232211","4,162293123","3,860907924","4,447307979","6,91650558","6,056808943","3,290681213","3,815237299","6,699696113","6,22022484","5,597076124","4,250250882","5,476695642","3,830179274","6,351906593","10,10336911","9,408047204","8,458534557","7,431903887","7,559775586","2,034266347","1,719640552","2,128307935","1,731953945","1,846957373","2,186372778","1,849982694","1,958066148","1,842106525","2,12567877","2,252885907","1,940854568","2,348650996","2,077784991","1,721590627","2,717344572","5,97088713","6,716993059","3,940682344","3,919621371","4,076406877","3,304217329","0,858398157","1,240805276","3,016415107","5,358623957","5,690574113","4,459345659","4,649105049","74,04566901","86,62622104","40,89037645","65,06395454","94,22886112","85,56620295","90,74424626","96,82158137","30,62814196","23,91764959","26,29689816","99,43792557","108,8184846","23,85304446","14,93151301","24,68711941","6,668698195","5,911966485","5,344417703","2,222899398","3,452588427","5,107939043","7,472725637","9,270084101","1,750581095","5,439009167","9,366465657","11,07457613","7,778674256","4,998377994","8,419835869","12,58066468","11,04919807","9,108450707","8,1322532","10,84073476","13,81764051","12,04621455","91,89687954","3,36204004","3,677441002","4,04876412","4,41337658","31,89240577","59,45419975","15,55083324","17,71390225","52,12056817"
