Cheetah,Trail,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,Area1,Area2,Area3,Area4,Area5,Area6,Area7,Area8,Area9,Area10
Bolt,Bolt 20-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"2,08629573","3,03867646","2,86683548","2,68159248","1,66337511","1,70662981","1,91868492","1,79389222","2,35335417","5,06446076","1,64936159","1,46290974","1,63806446","5,78349134","6,47385316","7,22669075","5,41744256","4,72254869","1,75130448","4,60425558","2,62243517","4,56801404","1,11638516","1,29672451","3,0437282","2,54826671","2,70777851","3,28476132","2,49077962","2,26899136","1,96080625","3,39211285","3,64185114","2,42849555","3,34678437","5,12496455","5,46785195","2,30992081","2,36216564","4,04218234","4,39463441","4,59657319","3,27540511","3,07991188","2,0740663","5,08641266","6,89903443","6,49683085","6,32161858","5,69076046","5,20335281","1,25078314","1,58359587","1,41385243","1,124116","1,25263753","2,38859771","2,16534827","1,27139779","0,9698103","2,34307401","1,80883943","1,73227861","1,18522699","2,03264751","1,48776793","1,67810168","4,57689411","5,21431504","2,76637724","2,64600526","3,09656786","2,34838863","1,15589487","0,62125704","2,33452991","4,55621472","3,79174916","3,76053108","2,93504864","85,9610215","77,0943639","34,3458193","59,6931592","97,250347","83,6292831","88,1038619","88,8084294","23,1254588","21,9213412","25,3101118","105,62001","120,053201","5,63707478","4,72295454","4,5401305","1,09694428","2,68141935","4,02212903","6,33790029","5,39330938","2,92518475","5,36283871","6,68274063","7,9306333","6,61220657","5,28541056","53,4812683","1,73436702","2,57926744","2,53377281","2,2566269","19,2196277","33,4640917","8,39422497","11,8109651","29,7172833"
Bolt,Bolt 20-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,"1,92796323","3,03223938","3,11310181","2,39081261","1,21010307","1,73968341","1,6294553","1,54279896","1,57836761","4,33154794","1,69738644","1,36339705","1,54579428","4,49417194","5,03532752","5,64998133","4,08800952","3,45509176","1,58023576","3,34333758","2,30664375","3,31609676","0,69685882","1,49110403","3,21033421","2,21878704","2,26870661","2,83304924","2,26972583","1,26588238","1,66694198","1,96748834","3,28043446","2,07010548","3,36839203","4,62725457","3,85018114","1,66021664","2,19249938","3,87535565","3,89822696","3,17467851","2,46526454","3,07369064","2,32984323","3,54558909","5,22872728","5,18430552","5,384631","4,97193604","4,64492897","0,88453156","1,58651057","1,24588797","0,89934887","1,54237059","2,20564387","2,36301152","0,98223162","1,21255792","2,22042447","2,08283491","1,55368266","1,38360375","1,47693114","1,71308089","1,11251627","4,10309552","3,42423253","2,44315856","2,29548974","2,89932825","2,06319413","0,97013469","0,42592068","1,96475372","3,75754774","3,11413203","3,04445127","2,37363997","83,0199187","64,4386909","43,1221226","53,8579588",90,"82,6942405","87,633752","89,3839401","26,1430456","23,6260248","28,4699541","123,16458","107,542459","3,88163264","4,88417352","3,75310176","0,84830382","2,26214353","4,54999323","4,21581293","4,80705499","2,05649411","3,75310176","5,29584669","6,1499576","4,89235206","3,62311208","38,0155951","1,13989295","2,58309654","2,50710368","1,80929095","11,6421067","21,9325316","6,2763497","6,85653869","23,2812397"
Bolt,Bolt 20-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,"1,92160445","2,77324459","2,85324203","2,34719754","1,13916405","1,86374769","1,57350895","1,49352362","1,88876047","4,54454623","1,63206977","1,57350895","1,60549457","5,21083018","5,77621158","6,77343154","4,99455739","4,28470507","1,49150651","4,25384709","2,51958445","4,19142551","0,65870219","1,49345647","3,20277701","2,39042322","2,57763399","2,92887272","2,1989193","2,1989193","1,51526593","3,04749534","2,94931611","2,61175273","3,33962033","4,50549674","4,91027621","2,1307345","2,26480058","3,84051358","3,76468463","3,91828769","2,76734425","2,79728261","1,87702522","4,54704899","6,45318193","5,84005665","5,65541606","4,90303028","4,70891386","0,74138634","1,61102124","1,13916405","0,97903852","1,6213604","1,75285894","2,22847081","1,05860256","1,08284218","2,10811765","2,1715863","1,2634644","1,10397756","1,58969404","1,73327787","1,18805102","3,88415742","4,74359263","2,55967557","2,53504556","2,91493162","2,20436851","0,9693974","0,65322932","1,98713056","3,76910922","3,47506524","3,10684032","2,5979613","84,4515337","64,8724078","36,7506558","58,7978105","86,5628752","88,9488193","88,9488193","89,7492281","24,4410422","21,9058275","23,0761983","101,144161","125,990217","4,71984897","4,95984129","3,75987969","1,03996672","2,42658902","4,45319083","5,22649942","5,09317035","2,13326507","4,90650966","6,10967265","7,32878239","5,76869745","4,53820494","44,0067836","1,00793549","2,44037715","2,24447858","1,75135458","15,716683","27,6035667","6,56455765","9,16350242","24,3756844"
Bolt,Bolt 20-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,"1,60148136","2,35822274","2,42673835","2,18556199","1,36275862","1,4692335","1,63957012","1,37532341","1,63812946","4,13642071","1,60988373","1,51289143","1,5359025","4,55995262","4,87081928","5,64556675","4,15561987","3,43799076","1,43282852","3,42528843","2,22027832","3,34779844","0,6895017","1,20657269","2,67777756","2,42785001","2,43118191","2,51277589","1,85736045","1,93055409","1,50999039","2,44777343","2,97542456","2,38326249","2,67215264","3,99851903","3,93757318","1,70809292","1,77191866","3,56522159","3,81875037","3,34620173","2,24494358","2,69720752","2,19697766","3,87680025","5,65857595","5,26277408","5,22572814","4,30143042","3,96710049","0,88459571","1,21434171","1,21960762","0,92230248","1,25746132","1,73609071","1,6002172","1,03108374","1,06519429","1,93317297","1,68822057","1,2306201","1,34080135","1,61990905","1,50775502","0,81514327","3,8649499","3,78398941","2,6137995","2,38022095","2,52649077","2,31324367","0,75165983","0,75642459","1,73705623","3,63619602","2,90895682","2,84513591","2,63631859","85,2047904","69,6123675","35,0256367","59,7695729","82,1425338","82,9408156","85,0079188","92,8709848","29,6015623","25,3857541","24,1123655","107,529276","120,779658","4,36340087","3,86992101","3,63616739","1,48043958","1,42849433","3,89589363","4,33742824","4,49333905","2,05200169","4,10367463","5,44620601","6,44675902","5,06539423","3,9500596","34,8800264","1,09112864","1,73231427","1,96403154","1,49014105","12,6459616","22,071829","5,92953366","7,24765753","19,6767426"
Bolt,Bolt 20-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"1,78173856","2,80199424","2,69821964","2,38336246","1,05228531","1,87688054","1,85540039","1,56884845","1,91106929","4,33939411","1,53975236","1,79075328","1,36218834","4,46577287","5,07380096","5,90947423","4,57663567","3,70723226","1,3665687","3,72057699","2,18889725","3,63892706","1,0748701","1,00769191","2,78589794","2,09559795","2,36242687","2,63344675","2,19040228","2,10489618","1,80466558","2,43343618","2,87513667","2,35094212","2,79244071","4,52695852","4,18309538","1,59585652","2,16093824","4,03086819","3,98649757","3,37695344","2,49205898","2,91457553","2,08917643","3,91923744","5,67216854","5,49115676","5,20124009","4,66501534","4,34255107","0,85465617","1,28904685","1,29963468","0,74131026","1,57603854","2,15746439","2,10359364","1,03918037","1,25919939","2,02644569","1,49573419","1,70650394","1,18519486","1,75597806","1,0893985","1,59010576","3,8707712","4,12768988","2,29006044","2,50957144","2,56253908","1,8745621","0,82277974","0,67599592","1,99515814","3,28408367","3,25759913","2,6453069","2,61885383","85,8702869","63,5224232","41,4552335","52,6744795","85,797412","86,717526","86,0995677","89,788283","24,3212064","23,281117","25,226311","103,486969","112,466151","4,685607","4,29295837","3,24589535","1,17794589","2,04177288","3,2982485","5,68031687","4,685607","1,78000713","4,5809007","5,88618002","6,77609362","5,42922621","4,21475381","38,282856","0,9360011","2,61306016","2,37220776","1,7102919","14,0653693","23,7498287","5,43785117","7,80080855","21,1240921"
Bolt,Bolt 20-08-19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,"1,52784226","2,93786076","2,96483645","2,45739137","1,35701408","1,37421245","1,75416841","1,5457154","1,66570438","4,62511236","1,49225406","1,53018538","1,14579484","4,99711313","5,51189225","6,35356748","4,84166727","3,87341074","1,63848151","3,84035915","2,51320833","3,7814596","0,92557059","1,06162944","3,40156337","2,60765959","2,49835741","3,11605593","2,8301999","1,77962675","2,32350391","2,29315255","3,77209927","2,48076875","3,54221276","5,22431809","3,79199217","2,36111649","2,46999415","3,81829033","4,08789998","4,00889821","2,99481219","3,08970194","2,43525038","3,94641873","5,84896756","5,88966124","6,0350739","5,43516526","5,2558444","0,81826605","1,034803","1,23765349","1,04055728","1,19976379","2,23477693","1,62211734","1,44646929","1,15995165","2,26380123","1,94342988","1,54674519","1,01773611","1,94342988","1,3249541","1,45251114","4,35021906","4,06350606","3,05353073","2,43342011","3,13731143","2,41971422","0,71428438","0,81916474","2,34306808","3,70288672","3,87248459","3,26379574","3,29217658","89,663168","69,5782115","39,718542","50,61829","96,2909677","89,3020875","89,8729315","90,577862","28,1917288","22,9276711","28,4381477","123,917523","104,574931","5,07889274","4,68386775","3,69630527","1,46723568","2,39836602","4,23241062","5,53034987","5,30829713","2,26591036","4,79673203","6,13691431","7,1691589","5,82789947","4,6108893","46,2891605","1,03658294","1,87253692","2,53055213","1,73440548","14,945663","28,078102","7,50686676","8,78547829","26,9662832"
Bolt,Bolt 20-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,"1,73968729","2,4971518","2,31395368","2,17458891","1,32557462","1,62781427","1,64819627","1,43774441","1,59157302","4,07760199","1,73543995","1,5722455","1,49314081","4,31315176","4,70868288","5,53963328","4,12029876","3,30137639","1,40730649","3,25931375","2,28031953","3,20007802","0,95372643","1,02758182","2,58648102","2,20300772","2,38809543","2,71519621","1,57849168","2,04980304","1,64456752","2,27211379","3,01870335","2,34742761","2,69649379","3,62393774","3,99303915","1,84691591","1,73711784","3,68702223","3,7803512","3,4327429","2,31634336","2,94998699","2,22264622","3,67851137","5,47974015","5,26485133","4,88077944","4,02031726","3,6722006","0,91416608","1,38900993","1,15103851","0,95035473","1,36861969","1,91415913","1,78810141","0,99797371","1,16197788","1,59620322","1,28846944","1,59068955","1,05580999","1,48322264","1,07002696","1,52964649","3,44649402","3,750041","2,42903288","2,53484163","2,66027688","2,07767493","0,89247831","0,54610233","1,97322407","3,80825347","3,21824237","3,2247975","2,47856337","86,2338437","74,0267418","32,5622756","61,2038807","96,4994523","84,9640903","84,0162174","89,9865059","27,8261423","25,3221629","28,0383418","107,847363","130,210971","4,13579282","4,18881581","3,76463193","1,11348268","2,06789641","3,12835611","5,19625252","4,82509162","2,1209194","4,24183879","5,64794354","6,54452717","5,10372052","3,91625986","35,2986449","1,14074053","2,02985746","1,83551688","1,45562147","12,2793022","21,2298631","5,73357418","6,28777868","20,9708595"
Bolt,Bolt 22-08-19,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,"2,07140557","2,97573752","3,13737766","2,24483862","1,20452604","1,85272146","1,95564828","1,56868883","1,62494422","4,26487027","1,27932278","1,52513618","1,2535295","4,71653879","5,37187634","6,11235776","4,57347455","3,84590308","1,52597326","3,86891982","2,24343793","3,76905642","0,84620056","1,31111657","3,15187016","2,31468938","2,54424257","2,49835769","1,64181801","1,95512624","1,77390969","2,27689539","3,18046369","2,29624064","3,41857946","3,85168569","4,32358517","1,9818024","2,71169202","3,98679828","3,83266634","3,51071232","3,00050379","3,13529816","2,25142411","3,80556031","5,58168381","5,18368574","5,1808624","4,40899603","3,82197674","0,87186487","1,58422933","1,33324259","1,02671121","1,93887329","1,49220758","2,29386849","1,10677374","1,32864078","2,34288894","2,23709489","1,5604245","1,21689201","1,39143758","1,39339253","1,48305846","3,54676424","3,56818925","2,75187769","2,38771732","2,52685325","2,07035089","0,74706765","0,89166627","1,7170546","3,50723057","3,55957729","3,02721673","2,68795968","78,7350261","66,7919917","34,0463444","67,2186294","96,0578507","88,2659045","94,0895332","91,7224215","25,4789597","24,525329","21,4533001","109,270493","125,605551","4,3304266","4,74781711","3,49564557","1,19999773","2,34782165","4,17390515","4,90433856","4,82635985","2,21800084","3,9652099","5,36940544","6,47906561","5,22266137","4,03546832","39,5501718","1,22086495","2,37912144","3,05420395","1,7516758","12,1518255","22,4546599","6,26629011","5,87838987","24,2464868"
Bolt,Bolt 22-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"1,87998286","2,51322751","2,46543247","2,28755682","1,21808089","1,58950464","1,70075166","1,66582661","1,8037983","4,4753586","1,69663161","1,40236596","1,41429274","4,95811238","5,13070668","5,74683314","3,97776638","3,6884418","1,44226488","3,4788954","2,26793773","3,47366","1,04232201","1,08487325","2,60020294","2,26464916","2,23760111","2,78331522","2,47746768","1,0273274","2,35628016","1,85883039","2,75144994","2,36295372","2,98003866","4,76491674","3,67039062","2,01887823","2,30401866","3,73899355","3,82737036","3,75828497","2,88687256","3,03897363","2,09309262","3,23758079","5,03737327","5,02227618","5,71679594","5,07722894","4,89846802","0,95860693","1,43175229","1,3377457","0,81496941","1,15950302","2,0823988","1,45910923","1,28980124","0,94203671","1,87233569","1,55613134","1,59280352","1,02902912","1,80593102","1,13015923","1,57045736","4,1005291","3,48584503","2,5050682","2,26710723","2,70948902","2,29730308","1,27429219","0,16015528","1,74469553","4,33753018","2,76750392","3,66177648","2,14930358","88,7020947","78,2939516","31,0109589","60,2869465","91,865944","89,4464348","85,7550488","96,5278885","25,870655","22,848761","25,9719678","132,41563","97,5520766","4,36507937","4,15343915","4,31216931","0,42328042","2,32804233","3,38624339","5,13227513","4,41798942","2,64550265","3,94179894","5,22183624","6,35856893","5,13336595","4,21191938","37,6364743","1,14498474","1,89489376","1,98202738","1,70627922","12,1507657","22,4213348","5,88694325","6,69319168","21,983917"
Bolt,Bolt 22-08-19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,8259435","2,66837089","3,09084146","1,76396938","1,12807967","1,85721707","2,08761027","1,43689307","2,1348815","4,58697059","1,33204016","1,83112105","1,47027262","4,7800987","5,02408363","6,03835674","4,6501738","3,69232828","1,33175535","3,69075705","2,34759969","3,60893262","0,80015379","0,98457402","3,59453626","2,44737596","2,53011401","2,83745573","2,93087061","1,50867432","1,45001066","3,29122716","2,99912152","2,79416747","4,09508915","4,69332141","5,07983474","2,08710975","1,93283655","3,97938846","4,33525151","4,16194644","2,77587886","3,11022783","2,26581535","4,62644588","6,49752832","6,07437545","6,16948262","5,37364615","5,27166848","0,81455533","1,34617985","1,02126469","1,08057135","1,34265889","2,13912708","2,11762777","1,0543337","1,03621924","2,70230436","1,93706196","1,74711686","1,12352459","1,27360321","0,87254181","1,26396516","4,60036674","4,62806562","2,44290734","2,64103935","2,90979681","2,35402687","0,76378727","0,78973569","2,15954796","3,68475258","3,71288047","3,14635721","3,23063464","93,8694983","71,5371179","33,5182824","52,6122193","91,1466603","90,2652563","88,7030314","98,8970907","28,7726962","24,2935104","27,0070973","107,325997","113,059228","4,85924384","4,7749795","3,67954302","1,37631762","2,33131352","4,38174589","5,25247745","4,91614228","2,47319","4,409834","5,87894372","6,92706667","5,4797745","4,60036674","44,4774047","0,97947172","2,47333375","2,91514138","1,23153875","14,2514517","27,1613071","5,99832744","10,6258678","24,7641063"
